,Mkt-RF,SMB,HML,RMW,CMA,RF,date
0,-0.67,0.0,-0.34,-0.01,0.16,0.01,1963-07-01
1,0.79,-0.26,0.26,-0.07,-0.2,0.01,1963-07-02
2,0.63,-0.17,-0.09,0.18,-0.34,0.01,1963-07-03
3,0.4,0.08,-0.27,0.09,-0.34,0.01,1963-07-05
4,-0.63,0.04,-0.18,-0.29,0.14,0.01,1963-07-08
5,0.45,0.0,0.09,0.14,-0.05,0.01,1963-07-09
6,-0.18,0.21,0.01,0.06,-0.08,0.01,1963-07-10
7,-0.16,0.15,-0.3,-0.07,0.05,0.01,1963-07-11
8,-0.12,0.01,-0.09,0.11,0.04,0.01,1963-07-12
9,-0.62,0.07,-0.02,0.16,-0.04,0.01,1963-07-15
10,-0.07,-0.08,0.14,-0.05,-0.08,0.01,1963-07-16
11,-0.33,-0.08,0.14,0.03,0.1,0.01,1963-07-17
12,-0.54,0.26,0.07,-0.04,0.33,0.01,1963-07-18
13,-0.23,-0.06,-0.04,0.16,-0.3,0.01,1963-07-19
14,-0.7,-0.1,-0.33,0.0,-0.11,0.01,1963-07-22
15,0.01,-0.09,-0.19,0.04,-0.07,0.01,1963-07-23
16,0.46,-0.11,-0.02,-0.11,-0.29,0.01,1963-07-24
17,-0.04,0.14,0.26,-0.15,0.16,0.01,1963-07-25
18,0.35,-0.14,0.08,0.03,-0.08,0.01,1963-07-26
19,0.11,-0.17,0.25,0.07,-0.11,0.01,1963-07-29
20,0.84,-0.29,-0.25,0.52,-0.41,0.01,1963-07-30
21,-0.13,0.12,-0.01,-0.15,0.34,0.01,1963-07-31
22,-0.08,-0.13,-0.11,0.16,-0.01,0.01,1963-08-01
23,0.29,-0.14,0.16,-0.05,0.02,0.01,1963-08-02
24,0.57,-0.42,0.16,0.04,0.1,0.01,1963-08-05
25,0.6,-0.33,0.25,0.01,-0.03,0.01,1963-08-06
26,-0.19,0.04,0.17,-0.2,0.15,0.01,1963-08-07
27,0.14,-0.01,-0.25,0.28,-0.32,0.01,1963-08-08
28,0.6,-0.09,-0.06,0.24,-0.16,0.01,1963-08-09
29,0.24,0.2,0.43,-0.12,0.34,0.01,1963-08-12
30,0.27,-0.26,0.01,0.04,-0.03,0.01,1963-08-13
31,0.29,-0.07,0.2,-0.19,0.04,0.01,1963-08-14
32,0.43,-0.3,0.36,-0.19,-0.01,0.01,1963-08-15
33,0.15,0.08,0.12,0.05,-0.19,0.01,1963-08-16
34,-0.05,-0.01,-0.09,-0.07,-0.06,0.01,1963-08-19
35,-0.05,0.01,-0.24,0.02,0.1,0.01,1963-08-20
36,-0.11,0.33,-0.12,-0.07,0.1,0.01,1963-08-21
37,0.38,0.07,0.09,-0.08,-0.32,0.01,1963-08-22
38,0.34,-0.01,0.09,0.07,-0.03,0.01,1963-08-23
39,0.18,-0.12,0.15,0.11,-0.21,0.01,1963-08-26
40,-0.44,0.1,-0.05,-0.02,0.14,0.01,1963-08-27
41,0.77,0.08,0.43,0.13,0.2,0.01,1963-08-28
42,0.18,0.12,0.0,0.1,0.1,0.01,1963-08-29
43,0.44,0.11,-0.06,0.11,-0.27,0.01,1963-08-30
44,0.23,0.08,0.03,0.03,0.19,0.01,1963-09-03
45,-0.01,0.06,-0.07,-0.38,-0.04,0.01,1963-09-04
46,0.47,-0.1,0.13,-0.08,0.04,0.01,1963-09-05
47,-0.27,-0.18,-0.01,0.12,-0.04,0.01,1963-09-06
48,-0.36,-0.25,-0.02,0.05,0.14,0.01,1963-09-09
49,0.52,-0.17,0.42,0.06,-0.25,0.01,1963-09-10
50,0.24,-0.21,0.19,-0.06,0.32,0.01,1963-09-11
51,-0.09,0.11,-0.12,-0.21,-0.12,0.01,1963-09-12
52,0.02,0.35,-0.17,-0.3,0.12,0.01,1963-09-13
53,-0.16,0.15,0.18,-0.1,-0.4,0.01,1963-09-16
54,0.03,-0.2,0.17,0.05,0.06,0.01,1963-09-17
55,-0.43,0.11,-0.24,-0.16,-0.04,0.01,1963-09-18
56,0.52,-0.4,0.16,0.15,-0.02,0.01,1963-09-19
57,0.04,-0.06,-0.01,0.11,-0.35,0.01,1963-09-20
58,-0.5,-0.09,-0.2,0.07,0.16,0.01,1963-09-23
59,0.35,-0.33,0.12,-0.06,0.07,0.01,1963-09-24
60,-0.58,-0.26,-0.08,-0.42,0.16,0.01,1963-09-25
61,-0.82,0.48,-0.35,-0.04,0.29,0.01,1963-09-26
62,-0.18,0.27,-0.22,0.19,-0.08,0.01,1963-09-27
63,-0.6,0.19,0.1,0.2,-0.04,0.01,1963-09-30
64,0.65,-0.2,0.24,-0.04,-0.14,0.01,1963-10-01
65,0.1,-0.13,0.0,0.03,-0.12,0.01,1963-10-02
66,0.66,-0.29,0.85,-0.35,0.16,0.01,1963-10-03
67,0.0,0.03,0.05,0.0,0.16,0.01,1963-10-04
68,-0.23,0.18,-0.01,-0.19,-0.03,0.01,1963-10-07
69,-0.14,0.18,0.27,-0.04,-0.22,0.01,1963-10-08
70,-0.61,0.15,-0.07,-0.01,0.2,0.01,1963-10-09
71,0.08,-0.03,0.14,0.06,-0.09,0.01,1963-10-10
72,0.13,0.4,0.07,0.04,-0.04,0.01,1963-10-11
73,0.05,-0.01,0.08,0.1,-0.2,0.01,1963-10-14
74,0.17,-0.3,0.14,0.02,0.02,0.01,1963-10-15
75,0.89,-0.34,0.28,0.17,-0.41,0.01,1963-10-16
76,0.14,0.1,-0.25,0.22,-0.02,0.01,1963-10-17
77,0.09,0.11,-0.23,0.2,-0.05,0.01,1963-10-18
78,0.04,-0.22,-0.31,0.55,0.09,0.01,1963-10-21
79,-0.54,0.34,-0.46,0.28,-0.33,0.01,1963-10-22
80,0.03,-0.1,-0.06,0.11,-0.11,0.01,1963-10-23
81,0.35,-0.07,0.45,0.07,-0.14,0.01,1963-10-24
82,0.85,-0.43,-0.87,0.64,-0.96,0.01,1963-10-25
83,0.41,-0.78,-0.29,0.7,-0.41,0.01,1963-10-28
84,-0.04,-0.29,-0.07,0.24,0.29,0.01,1963-10-29
85,-0.79,0.43,-0.06,-0.22,0.51,0.01,1963-10-30
86,0.21,-0.04,0.09,0.13,-0.32,0.01,1963-10-31
87,-0.18,0.25,0.2,-0.22,0.21,0.02,1963-11-01
88,-0.43,0.08,0.37,-0.22,0.46,0.02,1963-11-04
89,-0.77,0.1,0.24,-0.11,0.51,0.02,1963-11-06
90,0.33,0.05,-0.03,-0.07,-0.23,0.02,1963-11-07
91,0.54,0.06,0.11,0.13,-0.15,0.02,1963-11-08
